Date,Amount,Category,Description,Payment_Mode
2024-01-03,1200,Food & Dining,Swiggy dinner,UPI
2024-01-05,45000,Housing & Rent,Monthly rent,Bank Transfer
2024-01-07,850,Transport,Ola cab to office,UPI
2024-01-09,3200,Groceries,Big Basket order,Credit Card
2024-01-11,599,Entertainment,Netflix subscription,Credit Card
2024-01-13,2100,Shopping,Myntra clothes,Credit Card
2024-01-15,1800,Health & Medical,Pharmacy medicines,Cash
2024-01-17,4500,Education,Udemy course,Credit Card
2024-01-19,950,Food & Dining,Zomato lunch,UPI
2024-01-21,700,Transport,Metro card recharge,Cash
2024-01-23,1100,Utilities,Electricity bill,UPI
2024-01-25,500,Food & Dining,Tea and snacks,Cash
2024-01-27,2800,Groceries,DMart weekly shopping,Debit Card
2024-01-29,1500,Health & Medical,Gym membership,UPI
2024-01-31,650,Entertainment,BookMyShow movies,UPI
2024-02-02,1350,Food & Dining,Restaurant dinner,Credit Card
2024-02-04,45000,Housing & Rent,Monthly rent,Bank Transfer
2024-02-06,920,Transport,Rapido bike,UPI
2024-02-08,2900,Groceries,Reliance Fresh,Debit Card
2024-02-10,199,Entertainment,Hotstar subscription,Credit Card
2024-02-12,3800,Shopping,Amazon order,Credit Card
2024-02-14,2500,Health & Medical,Doctor consultation,Cash
2024-02-16,750,Food & Dining,Coffee and snacks,UPI
2024-02-18,1200,Transport,Uber intercity,UPI
2024-02-20,1400,Utilities,Internet and phone,UPI
2024-02-22,3100,Groceries,Weekly groceries,Credit Card
2024-02-24,890,Food & Dining,Dominos pizza,UPI
2024-02-26,6000,Education,Workshop fee,Bank Transfer
2024-02-28,1100,Entertainment,Concert tickets,Credit Card
2024-03-01,1600,Food & Dining,Biryani and kebabs,UPI
2024-03-03,45000,Housing & Rent,Monthly rent,Bank Transfer
2024-03-05,800,Transport,Auto fare,Cash
2024-03-07,3400,Groceries,BigBasket monthly,Credit Card
2024-03-09,299,Entertainment,Spotify premium,Credit Card
2024-03-11,4200,Shopping,Flipkart sale,Credit Card
2024-03-13,1900,Health & Medical,Blood test and medicines,Cash
2024-03-15,550,Food & Dining,Street food,Cash
2024-03-17,1300,Transport,Cab to airport,UPI
2024-03-19,1600,Utilities,Water and gas bill,UPI
2024-03-21,2400,Groceries,Vegetables and fruits,Cash
2024-03-23,2100,Food & Dining,Team lunch,Credit Card
2024-03-25,8000,Education,Online certification,Credit Card
2024-03-27,700,Entertainment,Streaming services,Credit Card
2024-03-29,1800,Shopping,Footwear,Debit Card
2024-04-01,1400,Food & Dining,Home delivery meals,UPI
2024-04-03,45000,Housing & Rent,Monthly rent,Bank Transfer
2024-04-05,1050,Transport,Weekly cab rides,UPI
2024-04-07,3600,Groceries,Monthly grocery run,Credit Card
2024-04-09,649,Entertainment,Prime Video,Credit Card
2024-04-11,2700,Shopping,Clothing and accessories,Credit Card
2024-04-13,1100,Health & Medical,Physiotherapy session,UPI
2024-04-15,900,Food & Dining,Cafe work session,UPI
2024-04-17,600,Transport,Parking fees,Cash
2024-04-19,1300,Utilities,Mobile recharge,UPI
2024-04-21,2200,Groceries,Costco equivalent run,Debit Card
2024-04-23,3300,Food & Dining,Birthday dinner,Credit Card
2024-04-25,5000,Education,Skill course,Bank Transfer
2024-04-27,450,Entertainment,Mobile games,UPI
2024-04-29,2500,Shopping,Sports equipment,Credit Card
2024-05-01,1200,Food & Dining,Lunch deliveries,UPI
2024-05-03,45000,Housing & Rent,Monthly rent,Bank Transfer
2024-05-05,980,Transport,Metro and auto,Cash
2024-05-07,2800,Groceries,Weekly groceries,Debit Card
2024-05-09,349,Entertainment,Music streaming,Credit Card
2024-05-11,1900,Shopping,Books and stationery,Credit Card
2024-05-13,800,Health & Medical,Dental checkup,Cash
2024-05-15,1600,Food & Dining,Office canteen,UPI
2024-05-17,750,Transport,Fuel for bike,Cash
2024-05-19,2100,Utilities,Quarterly maintenance,UPI
2024-05-21,3200,Groceries,Bulk purchase,Credit Card
2024-05-23,1700,Food & Dining,Family restaurant,Credit Card
2024-05-25,4500,Education,Bootcamp installment,Bank Transfer
2024-05-27,900,Entertainment,Gaming subscription,Credit Card
2024-05-29,3500,Shopping,Summer wardrobe,Credit Card
2024-06-01,1300,Food & Dining,Weekend brunches,UPI
2024-06-03,45000,Housing & Rent,Monthly rent,Bank Transfer
2024-06-05,1100,Transport,Daily commute,UPI
2024-06-07,3100,Groceries,Monthly run,Credit Card
2024-06-09,799,Entertainment,YouTube Premium,Credit Card
2024-06-11,2200,Shopping,Home decor,Credit Card
2024-06-13,1400,Health & Medical,Eye checkup and glasses,Cash
2024-06-15,1800,Food & Dining,Food court meals,UPI
2024-06-17,850,Transport,Ride sharing,UPI
2024-06-19,1900,Utilities,Internet upgrade,UPI
2024-06-21,2600,Groceries,Vegetables and dairy,Debit Card
2024-06-23,2900,Food & Dining,Anniversary dinner,Credit Card
2024-06-25,3000,Education,Book bundle,Credit Card
2024-06-27,600,Entertainment,Theatre show,Cash
2024-06-29,1500,Shopping,Gift shopping,Credit Card
